Sample#,Scan#,Interval,ENERGY-RBK,IC1[V],IC2[V],IC3[V],TRANS,TransRef,If,FLUOR,ROI_0[c/s],ROI_1[c/s],ROI_2[c/s],ROI_3[c/s],ROI_4[c/s],ROI_5[c/s],ROI_6[c/s],ROI_7[c/s],e-time[sec],DEADTIME[%],INT_TIME[sec],OCR,ICR
1,1,1,8.879963240719258,0,0,3.195132464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8.88499967400551,0,0,3.2050204445714288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8.890004180738329,0,0,3.194476182857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8.894995557502964,0,0,3.1897849817142854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8.899992688208284,0,0,3.1937705188571424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8.90500506337489,0,0,3.1927406308571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8.910004250930974,0,0,3.1501727782857136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8.915085221116076,0,0,3.191222874285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8.920000894146897,0,0,3.1998337119999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8.925007850148166,0,0,3.1765021851428563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8.929991969494253,0,0,3.1905195942857145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8.934991348617942,0,0,3.187146064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8.939996472920361,0,0,3.178331224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8.94500735222342,0,0,3.1792121119999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8.950004837902595,0,0,3.174227678857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8.955008054258439,0,0,3.1710103005714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8.959997808694606,0,0,3.1478177268571423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,8.961034857630011,0,0,3.1331166205714283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,8.961995307671858,0,0,3.1334582137142855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,8.96300400749184,0,0,3.129674976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,8.964032160236751,0,0,3.123652651428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,8.96500288152504,0,0,3.1175014205714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,8.965993047102915,0,0,3.1101702799999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,8.967002670112016,0,0,3.099625337142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,8.96799328880024,0,0,3.093234514285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,8.969003373875097,0,0,3.0859408365714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,8.96999444598205,0,0,3.0700237199999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,8.970995368074353,0,0,3.051595570285715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,8.97200614683764,0,0,2.977293101714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,8.973007529421695,0,0,2.933550958857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,8.974009141267363,0,0,2.8367360377142856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,8.975001348272134,0,0,2.698716060571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,8.976003416668908,0,0,2.0385002959999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.796202088609183,0,0,3.1751603337142855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.79636849168765,0,0,3.1957351051428566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.796599617797106,0,0,3.1931195165714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.796803019087884,0,0,3.191689797714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.79699718387379,0,0,3.190455566857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.79719135745915,0,0,3.190316954285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.797404033864051,0,0,3.190623809142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.797598225888281,0,0,3.1908066959999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.7977924267138,0,0,3.190439049142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.797995884638253,0,0,3.1910914137142856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.798199352223499,0,0,3.191251482285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.798393580294857,0,0,3.1910462879999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
