Sample#	Scan#	Interval	ENERGY-RBK	IC1[V]	IC2[V]	IC3[V]	TRANS	TransRef	KETEK-If	KETEK-FLUOR	KETEK-ROI_0[c/s]	KETEK-ROI_1[c/s]	KETEK-ROI_2[c/s]	KETEK-ROI_3[c/s]	KETEK-ROI_4[c/s]	KETEK-ROI_5[c/s]	KETEK-ROI_6[c/s]	KETEK-ROI_7[c/s]	KETEK-e-time[sec]	KETEK-DEADTIME[%]	KETEK-INT_TIME[sec]	KETEK-OCR	KETEK-ICR
1	1	1	15.249774415576319	1e-16	1e-16	0.005107547156512737	0.0	-31.564325489387016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9362956800000001	0.42278873121520183	0.9402710400000001	0.0	0.0
1	1	1	15.250990271553274	1e-16	1e-16	0.005083230324089527	0.0	-31.55955315898905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00668096	0.11420951110900458	1.007832	0.0	0.0
1	1	1	15.252008347877418	1e-16	1e-16	0.00514473719522357	0.0	-31.571580497258434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0063456	0.10009590273894733	1.0073539200000001	0.0	0.0
1	1	1	15.252998275737731	1e-16	1e-16	0.005080369766801596	0.0	-31.558990256604485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0062736	0.09372354097067347	1.0072176	0.0	0.0
1	1	1	15.254016622467496	1e-16	1e-16	0.005036742426455021	0.0	-31.55036573807823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00633568	0.1161838957940392	1.00750624	0.0	0.0
1	1	1	15.255006813274388	1e-16	1e-16	0.005298267118632793	0.0	-31.600986017269474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00661504	0.11884746849811162	1.0078128	0.0	0.0
1	1	1	15.255997133741271	1e-16	1e-16	0.0051232813857495785	0.0	-31.56740133834231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00643072	0.1155067768527876	1.00759456	0.0	0.0
1	1	1	15.25698758389355	1e-16	1e-16	0.005081799812614918	0.0	-31.559271701587583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00661216	0.10308332187433186	1.00765088	0.0	0.0
1	1	1	15.258034772238537	1e-16	1e-16	0.005193609278649092	0.0	-31.581035093813565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00653472	0.11486047484976394	1.00769216	0.0	0.0
1	1	1	15.259025489252073	1e-16	1e-16	0.005140685010701418	0.0	-31.57079255007441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00623488	0.10013864373135953	1.00724352	0.0	0.0
