 #(1)Sample#   (2)Scan#   (3)Interval   (4)ENERGY-RBK   (5)IC1[V]   (6)IC2[V]   (7)IC3[V]   (8)TRANS   (9)TransRef   (10)KETEK-If   (11)KETEK-FLUOR   (12)KETEK-ROI_0[c/s]   (13)KETEK-ROI_1[c/s]   (14)KETEK-ROI_2[c/s]   (15)KETEK-ROI_3[c/s]   (16)KETEK-ROI_4[c/s]   (17)KETEK-ROI_5[c/s]   (18)KETEK-ROI_6[c/s]   (19)KETEK-ROI_7[c/s]   (20)KETEK-e-time[sec]   (21)KETEK-DEADTIME[%]   (22)KETEK-INT_TIME[sec]   (23)KETEK-OCR   (24)KETEK-ICR
  1   1   1 1.525096e+01 1.000000e-16 1.000000e-16 5.096342e-03 0.000000e+00 -3.156213e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006252e+00 1.234586e-01 1.007496e+00 0.000000e+00 9.937870e-01
  1   1   1 1.525201e+01 1.000000e-16 1.000000e-16 5.159519e-03 0.000000e+00 -3.157445e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006416e+00 1.203618e-01 1.007629e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525303e+01 1.000000e-16 1.000000e-16 5.110170e-03 0.000000e+00 -3.156484e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006238e+00 1.014079e-01 1.007259e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525402e+01 1.000000e-16 1.000000e-16 5.117322e-03 0.000000e+00 -3.156624e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006161e+00 1.316225e-01 1.007487e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525501e+01 1.000000e-16 1.000000e-16 5.101587e-03 0.000000e+00 -3.156316e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006150e+00 1.066217e-01 1.007224e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525597e+01 1.000000e-16 1.000000e-16 5.087522e-03 0.000000e+00 -3.156040e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006381e+00 1.051060e-01 1.007440e+00 0.000000e+00 0.000000e+00
  1   1   2 1.525600e+01 1.000000e-16 1.000000e-16 5.148075e-03 0.000000e+00 -3.157223e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.994231e+00 3.706063e-01 2.001650e+00 0.000000e+00 0.000000e+00
  1   1   3 1.525704e+01 1.000000e-16 1.000000e-16 5.272281e-03 0.000000e+00 -3.159607e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.998296e+00 2.881315e-01 3.006960e+00 0.000000e+00 0.000000e+00
  1   1   3 1.525803e+01 1.000000e-16 1.000000e-16 5.220310e-03 0.000000e+00 -3.158616e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.003814e+00 1.218509e-01 3.007479e+00 0.000000e+00 0.000000e+00
  1   1   3 1.525903e+01 1.000000e-16 1.000000e-16 5.103494e-03 0.000000e+00 -3.156353e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.003996e+00 1.032330e-01 3.007100e+00 0.000000e+00 1.331560e+00
################### End of experiment, EOF ###################
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
