 #(1)Sample#   (2)Scan#   (3)Interval   (4)ENERGY-RBK   (5)IC1[V]   (6)IC2[V]   (7)IC3[V]   (8)TRANS   (9)TransRef   (10)KETEK-If   (11)KETEK-FLUOR   (12)KETEK-ROI_0[c/s]   (13)KETEK-ROI_1[c/s]   (14)KETEK-ROI_2[c/s]   (15)KETEK-ROI_3[c/s]   (16)KETEK-ROI_4[c/s]   (17)KETEK-ROI_5[c/s]   (18)KETEK-ROI_6[c/s]   (19)KETEK-ROI_7[c/s]   (20)KETEK-e-time[sec]   (21)KETEK-DEADTIME[%]   (22)KETEK-INT_TIME[sec]   (23)KETEK-OCR   (24)KETEK-ICR
  1   1   1 1.525091e+01 1.000000e-16 1.000000e-16 5.233184e-03 0.000000e+00 -3.158863e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006636e+00 1.179888e-01 1.007825e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525201e+01 1.000000e-16 1.000000e-16 5.184789e-03 0.000000e+00 -3.157934e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006603e+00 1.185001e-01 1.007797e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525300e+01 1.000000e-16 1.000000e-16 5.181213e-03 0.000000e+00 -3.157865e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006633e+00 1.181159e-01 1.007823e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525399e+01 1.000000e-16 1.000000e-16 5.176921e-03 0.000000e+00 -3.157782e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006155e+00 1.182672e-01 1.007346e+00 0.000000e+00 9.938831e-01
  1   1   1 1.525504e+01 1.000000e-16 1.000000e-16 5.059390e-03 0.000000e+00 -3.155485e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006327e+00 1.166608e-01 1.007502e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525603e+01 1.000000e-16 1.000000e-16 5.033643e-03 0.000000e+00 -3.154975e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006194e+00 1.045860e-01 1.007248e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525699e+01 1.000000e-16 1.000000e-16 5.189557e-03 0.000000e+00 -3.158025e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006520e+00 1.052184e-01 1.007580e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525801e+01 1.000000e-16 1.000000e-16 5.093005e-03 0.000000e+00 -3.156147e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006354e+00 1.056800e-01 1.007419e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525903e+01 1.000000e-16 1.000000e-16 5.278241e-03 0.000000e+00 -3.159720e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006198e+00 1.048712e-01 1.007255e+00 0.000000e+00 0.000000e+00
################### End of experiment, EOF ###################
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
