Sample#	Scan#	Interval	ENERGY-RBK	IC1[V]	IC2[V]	IC3[V]	TRANS	TransRef	KETEK-If	KETEK-FLUOR	KETEK-ROI_0[c/s]	KETEK-ROI_1[c/s]	KETEK-ROI_2[c/s]	KETEK-ROI_3[c/s]	KETEK-ROI_4[c/s]	KETEK-ROI_5[c/s]	KETEK-ROI_6[c/s]	KETEK-ROI_7[c/s]	KETEK-e-time[sec]	KETEK-DEADTIME[%]	KETEK-INT_TIME[sec]	KETEK-OCR	KETEK-ICR
1	1	1	15.249887510209811	1e-16	1e-16	0.004865332972258329	0.0	-31.515741364614858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92434368	0.4146038750603341	0.928192	0.0	0.0
1	1	1	15.250990271553274	1e-16	1e-16	0.005041033495217562	0.0	-31.551217328559147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00659072	0.09851691079931979	1.00758336	0.0	0.0
1	1	1	15.252008347877418	1e-16	1e-16	0.005068449769169092	0.0	-31.556641214320017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0065024	0.11508620032620422	1.00766208	0.0	0.0
1	1	1	15.253026561295213	1e-16	1e-16	0.00497809611260891	0.0	-31.53865372015628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00636544	0.09215980847534422	1.00729376	0.0	0.0
1	1	1	15.254016622467496	1e-16	1e-16	0.0051371087320148945	0.0	-31.570096626626174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0063248	0.11269527521563917	1.00746016	0.0	0.0
1	1	1	15.255006813274388	1e-16	1e-16	0.004978334065526724	0.0	-31.538701518998554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00621472	0.11308835726773345	1.0073539200000001	0.0	0.0
1	1	1	15.256025430517218	1e-16	1e-16	0.005042464006692171	0.0	-31.551501061754685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00666048	0.10038187029113078	1.0076720000000001	0.0	0.0
1	1	1	15.25704418496266	1e-16	1e-16	0.0051423534750938416	0.0	-31.571117058128987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0066512	0.09279999695111826	1.00758624	0.0	0.0
1	1	1	15.258006467944625	1e-16	1e-16	0.004938998259603977	0.0	-31.5307687381028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00647744	0.09300641324960082	1.0074144	0.0	0.0
1	1	1	15.25899718125101	1e-16	1e-16	0.0049876319244503975	0.0	-31.540567441806378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00653664	0.11476509832677295	1.00769312	0.0	0.0
