 #(1)Sample#   (2)Scan#   (3)Interval   (4)ENERGY-RBK   (5)IC1[V]   (6)IC2[V]   (7)IC3[V]   (8)TRANS   (9)TransRef   (10)KETEK-If   (11)KETEK-FLUOR   (12)KETEK-ROI_0[c/s]   (13)KETEK-ROI_1[c/s]   (14)KETEK-ROI_2[c/s]   (15)KETEK-ROI_3[c/s]   (16)KETEK-ROI_4[c/s]   (17)KETEK-ROI_5[c/s]   (18)KETEK-ROI_6[c/s]   (19)KETEK-ROI_7[c/s]   (20)KETEK-e-time[sec]   (21)KETEK-DEADTIME[%]   (22)KETEK-INT_TIME[sec]   (23)KETEK-OCR   (24)KETEK-ICR
  1   1   1 1.525096e+01 1.000000e-16 1.000000e-16 5.109216e-03 0.000000e+00 -3.156465e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006622e+00 9.978287e-02 1.007628e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525201e+01 1.000000e-16 1.000000e-16 5.042702e-03 0.000000e+00 -3.155155e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006244e+00 1.003917e-01 1.007255e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525300e+01 1.000000e-16 1.000000e-16 5.142353e-03 0.000000e+00 -3.157112e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006425e+00 1.006909e-01 1.007439e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525399e+01 1.000000e-16 1.000000e-16 4.982387e-03 0.000000e+00 -3.153952e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006390e+00 1.014877e-01 1.007412e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525501e+01 1.000000e-16 1.000000e-16 5.184789e-03 0.000000e+00 -3.157934e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006630e+00 1.054607e-01 1.007693e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525600e+01 1.000000e-16 1.000000e-16 5.093720e-03 0.000000e+00 -3.156161e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006647e+00 1.005418e-01 1.007660e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525699e+01 1.000000e-16 1.000000e-16 5.175491e-03 0.000000e+00 -3.157754e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006568e+00 1.179966e-01 1.007757e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525803e+01 1.000000e-16 1.000000e-16 5.246534e-03 0.000000e+00 -3.159117e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006430e+00 1.153165e-01 1.007592e+00 0.000000e+00 0.000000e+00
  1   1   1 1.525903e+01 1.000000e-16 1.000000e-16 5.060821e-03 0.000000e+00 -3.155513e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006306e+00 1.002903e-01 1.007316e+00 0.000000e+00 0.000000e+00
  1   1   2 1.526002e+01 1.000000e-16 1.000000e-16 5.045802e-03 0.000000e+00 -3.155216e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.921289e+00 3.522509e-01 1.928080e+00 0.000000e+00 0.000000e+00
  1   1   3 1.527002e+01 1.000000e-16 1.000000e-16 5.168578e-03 0.000000e+00 -3.157620e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.250288e-01 4.362843e-01 9.290822e-01 0.000000e+00 0.000000e+00
################### End of experiment, EOF ###################
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
