 #(1)Sample#   (2)Scan#   (3)Interval   (4)ENERGY-RBK   (5)IC1[V]   (6)IC2[V]   (7)IC3[V]   (8)TRANS   (9)TransRef
  1   1   1 1.525091e+01 1.000000e-16 1.000000e-16 4.997883e-03 0.000000e+00 -3.154262e+01
  1   1   1 1.525198e+01 1.000000e-16 1.000000e-16 4.967130e-03 0.000000e+00 -3.153645e+01
  1   1   1 1.525300e+01 1.000000e-16 1.000000e-16 5.109693e-03 0.000000e+00 -3.156475e+01
  1   1   1 1.525399e+01 1.000000e-16 1.000000e-16 5.109693e-03 0.000000e+00 -3.156475e+01
  1   1   1 1.525501e+01 1.000000e-16 1.000000e-16 4.949011e-03 0.000000e+00 -3.153279e+01
  1   1   1 1.525600e+01 1.000000e-16 1.000000e-16 5.062013e-03 0.000000e+00 -3.155537e+01
  1   1   1 1.525702e+01 1.000000e-16 1.000000e-16 5.062013e-03 0.000000e+00 -3.155537e+01
  1   1   1 1.525798e+01 1.000000e-16 1.000000e-16 5.068927e-03 0.000000e+00 -3.155674e+01
  1   1   1 1.525900e+01 1.000000e-16 1.000000e-16 5.006942e-03 0.000000e+00 -3.154443e+01
################### End of experiment, EOF ###################
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
